category,Factory,Retailer,Wholesaler,Distributor
1,400,400,500,400
2,390,0,600,500
3,490,0,0,610
4,360,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,20640,0,0,0
9,50640,0,0,0
10,65640,0,32860,32560
11,145640,5500,47300,37560
12,155640,8100,47300,37560
13,155639,7700,47300,37560
14,155639,7300,47300,37561
15,155639,6900,47300,37561
16,155639,6500,47300,37561
17,175639,6100,47100,37561
18,185629,5900,46900,37561
19,185629,5700,46700,37571
20,185629,5500,46500,37571
21,185629,5300,46300,37571
22,185629,5100,45800,37571
23,184629,5200,45300,37571
24,184629,5300,44800,38571
