category,Factory,Retailer,Wholesaler,Distributor,Consumer
1,200,150,100,200,100
2,300,200,50,200,400
3,200,300,300,150,400
4,50,500,500,200,400
5,0,300,500,700,400
6,900,600,500,650,400
7,1600,600,100,700,400
8,1400,600,100,700,400
9,500,1500,2000,200,400
10,0,2500,5000,1000,400
11,50,2500,10000,7000,400
12,15000,500,10000,15000,400
13,22000,100,10000,15000,400
14,15000,0,10000,25000,400
15,50000,0,4000,18000,400
16,30000,0,1000,5000,400
17,5000,0,0,200,400
18,0,0,0,0,400
19,0,0,0,0,400
20,0,0,0,0,400
21,0,0,0,0,400
22,10,0,0,0,400
23,0,0,0,0,400
24,0,0,0,0,400
