category,Factory,Retailer,Wholesaler,Distributor,Target
1,300,400,350,400,400
2,300,150,250,550,400
3,450,-50,0,450,400
4,450,-150,-200,100,400
5,-200,-250,0,-200,400
6,-850,-150,-300,-200,400
7,-650,-250,-400,-300,400
8,250,-150,-1000,500,400
9,1450,-550,-2100,-150,400
10,950,-550,-2750,-4950,400
11,-6050,900,-5050,-13950,400
12,-21000,700,-4550,-23000,400
13,-21000,1300,-3700,-32950,400
14,-24000,1850,-3650,-27950,400
15,-27000,1500,11350,-9950,400
16,18000,4750,33350,4050,400
17,47800,4350,44300,36050,400
18,52800,3950,44300,36250,400
19,52800,3550,44300,36250,400
20,52800,3150,44300,36250,400
21,52800,2750,44300,36250,400
22,52800,2350,44300,36250,400
23,52810,1950,44300,36250,400
24,52810,1550,44300,36250,400
