category,Factory,Retailer,Wholesaler,Distributor,Target
1,412,400,500,-500,400
2,107,0,1000,-412,400
3,-198,-400,638,93,400
4,-179,-350,700,200,400
5,-29,-50,-300,186,400
6,-229,0,-450,-843,400
7,-2279,-100,-393,-2643,400
8,-6879,-43,-693,-6293,400
9,-7479,-243,-843,-13893,400
10,-21979,-293,-943,-19493,400
11,-59579,-293,757,-28993,400
12,-134079,950,5557,-36593,400
13,-211679,1250,7957,-36093,400
14,-137179,850,13457,-33793,400
15,-49579,450,15857,46207,400
16,-79579,50,49650,136207,400
17,-74579,-350,49300,146207,400
18,-124579,-400,48500,151207,400
19,-124579,0,48100,201207,400
20,5421,0,47300,206207,400
21,135421,400,46900,330786,400
22,136421,400,46500,330786,400
23,146421,400,46100,330786,400
24,0,0,0,0,0
