category,Factory,Retailer,Wholesaler,Distributor,Consumer
1,200,150,200,0,100
2,200,400,50,100,400
3,0,200,300,0,400
4,0,300,400,300,400
5,300,150,500,800,400
6,1100,1000,300,1500,400
7,4000,1200,2500,900,400
8,2200,1200,2500,1500,400
9,3000,3000,4000,4000,400
10,5000,1500,6500,8000,400
11,22000,900,2200,15000,400
12,50000,100,0,30000,400
13,50000,0,0,20000,400
14,0,0,0,0,400
15,0,0,3000,0,400
16,0,0,3000,0,400
17,0,0,0,0,400
18,0,35000,0,0,400
19,0,0,55000,0,400
20,0,0,20000,40000,400
21,30000,0,0,3000,400
22,0,0,0,0,400
23,0,0,0,0,400
24,0,0,0,0,400
