category,Factory,Retailer,Wholesaler,Distributor,Consumer
1,200,0,1000,88,100
2,200,0,0,505,400
3,107,450,0,505,400
4,550,350,200,88,400
5,200,750,300,300,400
6,350,450,1300,400,400
7,400,400,2000,2400,400
8,2400,500,4000,5000,400
9,5500,500,8000,3000,400
10,2400,500,8000,20000,400
11,5500,700,15000,40000,400
12,2400,700,10000,80000,400
13,80000,0,5000,80000,400
14,90000,0,100,5500,400
15,10000,0,0,2400,400
16,5000,0,0,40000,400
17,50000,350,0,0,400
18,5000,800,0,100000,400
19,130000,400,0,5000,400
20,130000,800,0,0,400
21,1000,400,0,0,400
22,10000,400,0,0,400
23,10000,400,0,0,400
24,0,0,0,0,0
