category,Factory,Retailer,Wholesaler,Distributor
1,480,400,0,450
2,560,500,0,0
3,0,150,0,0
4,0,220,0,0
5,0,0,0,0
6,0,20,0,0
7,2560,0,0,0
8,0,15220,0,0
9,0,34820,0,0
10,0,56860,0,0
11,0,84020,0,0
12,0,93620,0,0
13,0,143220,0,0
14,0,242820,0,0
15,327560,342420,0,219070
16,677560,592020,0,371510
17,657560,872550,0,421510
18,657560,892150,0,421510
19,657560,891750,0,396510
20,657560,911350,0,371510
21,657560,935950,0,321510
22,657560,960550,0,271510
23,657560,1010150,0,221510
24,657560,1059750,0,171510
