id,BREWERYactualProduction,DISTRIBUTORactualOrder,RETAILERactualOrder,WHOLESALERactualOrder,BREWERYopenOrders,DISTRIBUTORopenOrders,RETAILERopenOrders,WHOLESALERopenOrders,BREWERYinventory,DISTRIBUTORinventory,WHOLESALERinventory,RETAILERinventory,BREWERYbackorder,DISTRIBUTORbackorder,WHOLESALERbackorder,RETAILERbackorder,BREWERYincomingDelivery,DISTRIBUTORincomingDelivery,WHOLESALERincomingDelivery,RETAILERincomingDelivery,BREWERYincomingOrder,DISTRIBUTORincomingOrder,WHOLESALERincomingOrder,RETAILERincomingOrder,BREWERYoutgoingDelivery,DISTRIBUTORoutgoingDelivery,WHOLESALERoutgoingDelivery,RETAILERoutgoingDelivery,BREWERYsurplus,DISTRIBUTORsurplus,WHOLESALERsurplus,RETAILERsurplus,performanceControllingRETAILERCost,performanceControllingBREWERYCost,performanceControllingDISTRIBUTORCost,performanceControllingWHOLESALERCost,performanceControllingRETAILERCostAcc,performanceControllingBREWERYCostAcc,performanceControllingDISTRIBUTORCostAcc,performanceControllingWHOLESALERCostAcc,performanceControllingsupplyChainCostAcc,policySettingstargetSurplus,policySettingstargetRETAILERCost,policySettingstargetSupplyChainCost,gameId
1682813,100,0,200,100000,100,0,200,100000,500,0,300,400,0,99500,0,0,100,100,100,100,0,100000,200,100,0,500,200,100,500,-99500,300,400,200,200,200,200,200,200,200,200,800,400,7800,29300,"cmkwp7sdn0006i604wjjah5hj"
1682854,150,99600,50,200,150,99600,50,99700,0,0,750,200,99000,99700,0,0,100,0,500,200,99600,200,50,400,600,0,50,400,-99000,-99700,750,200,200,250,99700,200,400,450,99900,400,101150,400,7800,29300,"cmkwp7sdn0006i604wjjah5hj"
1682884,100000,200,250,0,100000,99200,250,99700,0,0,500,0,99050,99100,0,150,150,600,0,50,200,0,250,400,150,600,250,250,-99050,-99100,500,-150,200,99200,99900,375,600,99650,199800,775,300825,400,7800,29300,"cmkwp7sdn0006i604wjjah5hj"
1682907,100050,0,600,150,100050,99050,600,99250,950,0,500,0,0,99100,0,300,100000,150,600,250,0,150,600,400,99050,150,600,250,950,-99100,500,-300,350,99250,99300,250,950,198900,299100,1025,499975,400,7800,29300,"cmkwp7sdn0006i604wjjah5hj"
1682935,500,0,600,0,500,0,600,99100,101000,0,50,0,0,50,0,100,100050,99050,150,600,0,0,600,400,0,99050,600,600,101000,-50,50,-100,500,475,99300,250,1450,199375,398400,1275,600500,400,7800,29300,"cmkwp7sdn0006i604wjjah5hj"
1682968,3,0,300,800,3,0,300,850,101500,0,98800,100,0,850,0,0,500,0,99050,600,0,800,300,400,0,0,300,500,101500,-850,98800,100,300,50500,250,200,1750,249875,398650,1475,651750,400,7800,29300,"cmkwp7sdn0006i604wjjah5hj"
1682989,100000,5000,150,0,100000,5000,150,850,96503,0,98650,0,0,850,0,0,3,0,0,300,5000,0,150,400,5000,0,150,400,96503,-850,98650,0,200,50750,1050,49400,1950,300625,399700,50875,753150,400,7800,29300,"cmkwp7sdn0006i604wjjah5hj"
1682995,2,0,200,0,2,0,200,850,196503,4150,98450,0,0,0,0,250,100000,5000,0,150,0,0,200,400,0,850,200,150,196503,4150,98450,-250,200,48251.5,1050,49325,2150,348876.5,400750,100200,851976.5,400,7800,29300,"cmkwp7sdn0006i604wjjah5hj"
1682999,20000,0,400,0,20000,0,400,0,196505,4150,98900,0,0,0,0,450,2,0,850,200,0,0,400,400,0,0,400,200,196505,4150,98900,-450,450,98251.5,2075,49225,2600,447128,402825,149425,1001978,400,7800,29300,"cmkwp7sdn0006i604wjjah5hj"
1683005,100000,0,400,0,100000,0,400,0,216505,4150,98500,0,0,0,0,450,20000,0,0,400,0,0,400,400,0,0,400,400,216505,4150,98500,-450,650,98252.5,2075,49450,3250,545380.5,404900,198875,1152405.5,400,7800,29300,"cmkwp7sdn0006i604wjjah5hj"
