id,BREWERYactualProduction,DISTRIBUTORactualOrder,RETAILERactualOrder,WHOLESALERactualOrder,BREWERYopenOrders,DISTRIBUTORopenOrders,RETAILERopenOrders,WHOLESALERopenOrders,BREWERYinventory,DISTRIBUTORinventory,WHOLESALERinventory,RETAILERinventory,BREWERYbackorder,DISTRIBUTORbackorder,WHOLESALERbackorder,RETAILERbackorder,BREWERYincomingDelivery,DISTRIBUTORincomingDelivery,WHOLESALERincomingDelivery,RETAILERincomingDelivery,BREWERYincomingOrder,DISTRIBUTORincomingOrder,WHOLESALERincomingOrder,RETAILERincomingOrder,BREWERYoutgoingDelivery,DISTRIBUTORoutgoingDelivery,WHOLESALERoutgoingDelivery,RETAILERoutgoingDelivery,BREWERYsurplus,DISTRIBUTORsurplus,WHOLESALERsurplus,RETAILERsurplus,performanceControllingRETAILERCost,performanceControllingBREWERYCost,performanceControllingDISTRIBUTORCost,performanceControllingWHOLESALERCost,performanceControllingRETAILERCostAcc,performanceControllingBREWERYCostAcc,performanceControllingDISTRIBUTORCostAcc,performanceControllingWHOLESALERCostAcc,performanceControllingsupplyChainCostAcc,policySettingstargetSurplus,policySettingstargetRETAILERCost,policySettingstargetSupplyChainCost,gameId
1047373,200,88,0,1000,200,88,0,1000,412,0,500,400,0,500,0,0,100,100,100,100,88,1000,0,100,88,500,0,100,412,-500,500,400,200,200,200,200,200,200,200,200,800,400,7800,29300,"a493589a00d811f0b1c08eccb4671098"
1047385,200,505,0,0,200,505,0,500,107,0,1000,0,0,412,0,0,200,88,500,0,505,0,0,400,505,88,0,400,107,-412,1000,0,200,206,700,250,400,406,900,450,2156,400,7800,29300,"a493589a00d811f0b1c08eccb4671098"
1047390,107,505,450,0,107,505,450,412,0,93,638,0,198,0,0,400,200,505,88,0,505,0,450,400,307,412,450,0,-198,93,638,-400,200,200,612,500,600,606,1512,950,3668,400,7800,29300,"a493589a00d811f0b1c08eccb4671098"
1047397,550,88,350,200,550,286,350,200,0,200,700,0,179,0,0,350,107,307,412,450,88,200,350,400,107,200,350,450,-179,200,700,-350,600,398,200,319,1200,1004,1712,1269,5185,400,7800,29300,"a493589a00d811f0b1c08eccb4671098"
1047406,200,300,750,300,200,300,750,300,0,186,0,0,29,0,300,50,200,479,300,750,300,300,750,400,271,300,450,750,-29,186,-300,-50,600,200,200,200,2350,1583,2112,1819,7864,400,7800,29300,"a493589a00d811f0b1c08eccb4671098"
1047412,350,400,450,1300,350,429,750,1300,0,0,0,0,229,843,450,0,200,271,300,450,400,1300,450,400,200,457,300,450,-229,-843,-450,0,250,229,200,500,2600,1812,2312,2319,9043,400,7800,29300,"a493589a00d811f0b1c08eccb4671098"
1047418,400,2400,400,2000,400,2629,850,2843,0,0,0,0,2279,2643,393,100,350,200,457,300,2400,2000,400,400,350,200,457,300,-2279,-2643,-393,-100,200,429,1043,650,2800,2241,3355,2969,11365,400,7800,29300,"a493589a00d811f0b1c08eccb4671098"
1047427,2400,5000,500,4000,2400,7279,893,6643,0,0,0,0,6879,6293,693,43,400,350,200,457,5000,4000,500,400,400,350,200,457,-6879,-6293,-693,-43,300,2479,2843,593,3100,4720,6198,3562,17580,400,7800,29300,"a493589a00d811f0b1c08eccb4671098"
1047436,5500,3000,500,8000,5500,9879,1193,14293,0,0,0,0,7479,13893,843,243,2400,400,350,200,3000,8000,500,400,2400,400,350,200,-7479,-13893,-843,-243,243,7079,6493,893,3343,11799,12691,4455,32288,400,7800,29300,"a493589a00d811f0b1c08eccb4671098"
1047443,2400,20000,500,8000,2400,27479,1343,21893,0,0,0,0,21979,19493,943,293,5500,2400,400,350,20000,8000,500,400,5500,2400,400,350,-21979,-19493,-943,-293,443,7679,14093,1043,3786,19478,26784,5498,55546,400,7800,29300,"a493589a00d811f0b1c08eccb4671098"
