id,BREWERYactualProduction,DISTRIBUTORactualOrder,RETAILERactualOrder,WHOLESALERactualOrder,BREWERYopenOrders,DISTRIBUTORopenOrders,RETAILERopenOrders,WHOLESALERopenOrders,BREWERYinventory,DISTRIBUTORinventory,WHOLESALERinventory,RETAILERinventory,BREWERYbackorder,DISTRIBUTORbackorder,WHOLESALERbackorder,RETAILERbackorder,BREWERYincomingDelivery,DISTRIBUTORincomingDelivery,WHOLESALERincomingDelivery,RETAILERincomingDelivery,BREWERYincomingOrder,DISTRIBUTORincomingOrder,WHOLESALERincomingOrder,RETAILERincomingOrder,BREWERYoutgoingDelivery,DISTRIBUTORoutgoingDelivery,WHOLESALERoutgoingDelivery,RETAILERoutgoingDelivery,BREWERYsurplus,DISTRIBUTORsurplus,WHOLESALERsurplus,RETAILERsurplus,performanceControllingRETAILERCost,performanceControllingBREWERYCost,performanceControllingDISTRIBUTORCost,performanceControllingWHOLESALERCost,performanceControllingRETAILERCostAcc,performanceControllingBREWERYCostAcc,performanceControllingDISTRIBUTORCostAcc,performanceControllingWHOLESALERCostAcc,performanceControllingsupplyChainCostAcc,policySettingstargetSurplus,policySettingstargetRETAILERCost,policySettingstargetSupplyChainCost,gameId
1758181,100,100,100,100,100,100,100,100,400,400,400,400,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,400,400,400,400,200,200,200,200,200,200,200,200,800,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
1758184,100,100,0,0,100,100,0,0,400,500,500,100,0,0,0,0,100,100,100,100,100,0,0,400,100,0,0,400,400,500,500,100,200,200,200,200,400,400,400,400,1600,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
1758186,100,0,300,0,100,0,300,0,500,600,200,0,0,0,0,300,100,100,0,0,0,0,300,400,0,0,300,100,500,600,200,-300,200,200,250,250,600,600,650,650,2500,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
1758187,0,0,300,200,0,0,300,200,600,400,0,0,0,0,100,400,100,0,0,300,0,200,300,400,0,200,200,300,600,400,-100,-400,500,250,300,200,1100,850,950,850,3750,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
1758190,0,100,800,400,0,100,900,400,500,0,0,0,0,0,700,600,0,0,200,200,100,400,800,400,100,400,200,200,500,0,-700,-600,600,300,200,300,1700,1150,1150,1150,5150,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
1758191,100,500,1200,1000,100,500,1900,1000,0,0,0,0,0,900,1500,800,0,100,400,200,500,1000,1200,400,500,100,400,200,0,-900,-1500,-800,800,250,200,900,2500,1400,1350,2050,7300,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
1758194,614,1900,1400,4000,614,1900,2900,4900,0,0,0,0,1800,4400,2800,800,100,500,100,400,1900,4000,1400,400,100,500,100,400,-1800,-4400,-2800,-800,1000,200,1100,1700,3500,1600,2450,3750,11300,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
1758197,2398,5000,2000,0,2398,6800,4800,4400,0,0,0,0,6186,4300,4300,1100,614,100,500,100,5000,0,2000,400,614,100,500,100,-6186,-4300,-4300,-1100,1000,2000,4600,3000,4500,3600,7050,6750,21900,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
1758198,6312,2000,8000,4300,6312,8186,12300,8600,0,0,0,0,5788,7986,12200,1000,2398,614,100,500,2000,4300,8000,400,2398,614,100,500,-5788,-7986,-12200,-1000,1300,6386,4500,4500,5800,9986,11550,11250,38586,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
1758205,2268,8000,8000,0,2268,13788,20200,7986,0,0,0,0,7476,5588,19586,1300,6312,2398,614,100,8000,0,8000,400,6312,2398,614,100,-7476,-5588,-19586,-1300,1200,5988,8186,12400,7000,15974,19736,23650,66360,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
1758211,9944,8000,10000,15000,9944,15476,29586,20588,0,0,0,0,13208,14276,27188,1086,2268,6312,2398,614,8000,15000,10000,400,2268,6312,2398,614,-13208,-14276,-27188,-1086,1500,7676,5788,19786,8500,23650,25524,43436,101110,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
1758214,9666,20000,9986,10000,9666,33208,37174,24276,0,0,0,912,23264,22008,30862,0,9944,2268,6312,2398,20000,10000,9986,400,9944,2268,6312,1486,-23264,-22008,-30862,912,1286,13408,14476,27388,9786,37058,40000,70824,157668,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
1758216,24856,20000,200,10000,24856,43264,31062,32008,0,0,0,6824,33598,22064,28794,0,9666,9944,2268,6312,20000,10000,200,400,9666,9944,2268,400,-33598,-22064,-28794,6824,456,23464,22208,31062,10242,60522,62208,101886,234858,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
1758217,24163,15000,0,200,24163,48598,28794,22264,0,0,0,8692,23742,12598,18850,0,24856,9666,9944,2268,15000,200,0,400,24856,9666,9944,400,-23742,-12598,-18850,8692,3412,33798,22264,28994,13654,94320,84472,130880,323326,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
1758220,17139,15000,0,0,17139,38742,18850,12598,0,12258,0,18236,14579,0,9184,0,24163,24856,9666,9944,15000,0,0,400,24163,12598,9666,400,-14579,12258,-9184,18236,4346,23942,12798,19050,18000,118262,97270,149930,383462,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
1758221,16834,0,0,0,16834,14579,9184,0,2560,36421,3414,27502,0,0,0,0,17139,24163,12598,9666,0,0,0,400,14579,0,9184,400,2560,36421,3414,27502,9118,14779,6129,9384,27118,133041,103399,159314,422872,400,7800,29300,"cmmm2jp86000eii044ue8y7dh"
